,Date,Songs_link,characters
0,"Aug 8, 2023",https://www.youtube.com/watch?v=MKrJVADW7T4,MKrJVADW7T4
1,"Premiered Aug 8, 2023",https://www.youtube.com/watch?v=C-Bp3_4VjMQ,C-Bp3_4VjMQ
2,"Premiered Aug 8, 2023",https://www.youtube.com/watch?v=kfSSwxS9aOs,kfSSwxS9aOs
3,"Aug 7, 2023",https://www.youtube.com/watch?v=NIKwvL4b0uE,NIKwvL4b0uE
4,"Aug 7, 2023",https://www.youtube.com/watch?v=GgMNrnJ5tcI,GgMNrnJ5tcI
5,"Aug 6, 2023",https://www.youtube.com/watch?v=nuaxkTOSPX8,nuaxkTOSPX8
6,"Aug 6, 2023",https://www.youtube.com/watch?v=z0vOhkzefCE,z0vOhkzefCE
7,"Aug 5, 2023",https://www.youtube.com/watch?v=OdzSxyowu7s,OdzSxyowu7s
8,"Aug 5, 2023",https://www.youtube.com/watch?v=CiwlhIiZtxc,CiwlhIiZtxc
9,"Aug 5, 2023",https://www.youtube.com/watch?v=0ZfJUjtEeG8,0ZfJUjtEeG8
10,"Aug 4, 2023",https://www.youtube.com/watch?v=PaTUh_adayw,PaTUh_adayw
11,"Aug 4, 2023",https://www.youtube.com/watch?v=3ihp0OpjD04,3ihp0OpjD04
12,"Premiered Aug 4, 2023",https://www.youtube.com/watch?v=I-_LHvTeVy4,I-_LHvTeVy4
13,"Aug 3, 2023",https://www.youtube.com/watch?v=xOHejhEwMDY,xOHejhEwMDY
14,"Aug 3, 2023",https://www.youtube.com/watch?v=3hVZ7tBOn08,3hVZ7tBOn08
15,"Aug 3, 2023",https://www.youtube.com/watch?v=VHlYqwNM7k8,VHlYqwNM7k8
16,"Aug 2, 2023",https://www.youtube.com/watch?v=WQEiXWuDrhs,WQEiXWuDrhs
17,"Aug 2, 2023",https://www.youtube.com/watch?v=Nc2p7FZBnDU,Nc2p7FZBnDU
18,"Aug 2, 2023",https://www.youtube.com/watch?v=tVNQNFwIa6I,tVNQNFwIa6I
19,"Aug 2, 2023",https://www.youtube.com/watch?v=6QpLsw4ki00,6QpLsw4ki00
20,"Aug 2, 2023",https://www.youtube.com/watch?v=zNfc-q_BF-8,zNfc-q_BF-8
21,"Aug 1, 2023",https://www.youtube.com/watch?v=IUffiaUue-U,IUffiaUue-U
22,"Aug 1, 2023",https://www.youtube.com/watch?v=2xg_luaPSnQ,2xg_luaPSnQ
23,"Aug 1, 2023",https://www.youtube.com/watch?v=qs-Kvkds1ks,qs-Kvkds1ks
24,"Aug 1, 2023",https://www.youtube.com/watch?v=_Hs5RhHZ9ms,_Hs5RhHZ9ms
25,"Premiered Jul 31, 2023",https://www.youtube.com/watch?v=AQEc4BwX6dk,AQEc4BwX6dk
26,"Premiered Jul 31, 2023",https://www.youtube.com/watch?v=UiUBPysceNY,UiUBPysceNY
27,"Jul 30, 2023",https://www.youtube.com/watch?v=f_W_l4hmodA,f_W_l4hmodA
28,"Jul 30, 2023",https://www.youtube.com/watch?v=F6ql3Aw53js,F6ql3Aw53js
